"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
55,2019,238.5,259.5,3140,21,12,0,0,0,0,0,2019-01-01 06:19:16,2019-07-20 00:33:11,143,199.76,"resident",0,"f",1,"mature","24.2722225122486","7.78221719215503","2.54913699594343","0.643412161103535","0.643412161103535","0.643412161103535","0"
56,2012,141,141,989,5,5,0,0,0,0,0,2012-08-24 03:53:15,2012-12-31 01:41:00,115,128.908,"resident",0,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
56,2013,153.5,156.5,3325,12,12,0,0,0,0,0,2012-12-31 23:05:15,2013-12-31 07:09:46,264,364.336,"resident",0,"m",0,"juvenile","5.88247209151004","2.36525524567095","1.99147244913571","1.07846406730853","0.600504028471492","0.600504028471492","0.232849060064308"
56,2014,166,172,11973,18,18,0,0,0,0,0,2014-01-01 02:15:17,2014-12-31 05:10:29,358,364.122,"resident",0,"m",0,"juvenile","6.82001225570458","3.53562094826052","3.53562094826052","1.4828735521425","0.974285797927178","0.974285797927178","0.974285797927178"
56,2015,178.5,187.5,14238,29,24,0,0,2,0,0,2015-01-01 00:39:43,2015-12-31 22:45:40,360,364.921,"exploratory",1,"m",0,"juvenile","57.5071468104344","2.01597448505564","2.01597448505564","1.4828735521425","1.4828735521425","1.4828735521425","1.10909178268681"
56,2016,191,203,4612,23,17,0,0,0,0,0,2015-12-31 23:33:20,2016-11-07 10:40:35,152,311.463,"exploratory",1,"m",0,"juvenile","254.063992716828","2.01597448505564","2.01597448505564","1.6238064177515","1.6238064177515","1.27453493149625","1.10909178268681"
56,2017,203.5,218.5,16,1,0,0,0,0,0,0,2017-01-02 19:11:23,2017-10-15 13:36:52,10,285.768,"exploratory",1,"m",0,"juvenile","NA","NA","NA","NA","NA","NA","NA"
57,2012,172,172,2310,7,7,0,0,0,0,0,2012-08-25 00:55:41,2012-12-31 21:54:56,124,128.874,"resident",0,"f",1,"juvenile","1.96084605483939","0","0","0","0","0","0"
57,2013,184.5,187.5,12370,13,13,0,0,0,0,0,2012-12-31 23:17:24,2013-12-31 21:08:33,348,364.911,"resident",0,"f",1,"juvenile","4.82860359221062","2.36525524567095","2.36525524567095","0.600504028471492","0.232849060064308","0.232849060064308","0.232849060064308"
57,2014,197,203,20691,24,22,0,0,0,0,0,2014-01-01 02:36:42,2014-12-31 22:00:20,364,364.808,"resident",0,"f",1,"juvenile","13.0457753761925","2.65324368884199","2.65324368884199","2.65324368884199","2.51230991371051","2.51230991371051","2.51230991371051"
57,2015,209.5,218.5,18971,25,23,0,0,0,0,0,2014-12-31 23:14:40,2015-12-31 22:23:03,366,364.964,"resident",0,"f",1,"juvenile","10.943940543876","2.65324368884199","2.65324368884199","2.29784362439385","2.13240047558442","2.13240047558442","1.50125894046848"
57,2016,222,234,10241,36,26,0,0,1,1,0,2015-12-31 23:03:23,2016-09-30 07:09:44,234,273.338,"exploratory",1,"f",1,"mature","100.531203287042","3.31503578579391","3.31503578579391","3.31503578579391","1.64219271559995","1.0233113098609","0.710800176538639"
58,2012,196,196,562,9,6,0,0,0,0,0,2012-08-29 02:50:39,2012-12-30 15:44:44,77,123.538,"resident",0,"f",1,"juvenile","4.40581878711421","3.27831714420215","2.38978771216691","0.490212440346546","0.0980453542953059","0.0980453542953059","0.0980453542953059"
58,2013,208.5,211.5,1249,10,7,0,0,0,0,0,2013-01-02 07:44:25,2013-11-03 19:38:32,161,305.496,"resident",0,"f",1,"juvenile","5.31883510012782","2.00987302565497","2.00987302565497","2.00987302565497","0.490212440346546","0.490212440346546","0.490212440346546"
59,2012,169,169,59,9,8,0,0,0,0,0,2012-09-09 13:50:12,2012-12-29 20:51:11,24,111.292,"resident",0,"f",1,"juvenile","3.35799318008239","2.98420899350395","2.98420899350395","1.58707366712462","0.594385610301569","0.312512308584571","0.312512308584571"
